scene_id,text,geometry,wall_color,floor_texture,object_type,object_side,door_side,place_id,heading_id,split,split_condition,template_id,text_length
scene_0014,"You find yourself in a circular space. green walls surround you, and the floor beneath is carpeted. A chair sits on the west wall, while the exit door is on the east wall.",circular,green,carpeted,chair,west,east,green-carpeted-chair-west,circular-east,train,seen_combination,4,171
scene_0015,You are in a square room with green walls and a wooden floor. There is a table on the west wall and a door on the north wall.,square,green,wooden,table,west,north,green-wooden-table-west,square-north,train,seen_combination,1,125
scene_0016,You are in a circular room with blue walls and a wooden floor. There is a table on the west wall and a door on the east wall.,circular,blue,wooden,table,west,east,blue-wooden-table-west,circular-east,train,seen_combination,1,125
scene_0017,You are in a circular room with yellow walls and a tiled floor. There is a painting on the east wall and a door on the west wall.,circular,yellow,tiled,painting,east,west,yellow-tiled-painting-east,circular-west,train,seen_combination,1,129
scene_0018,The circular room has blue walls with a carpeted floor. On the east wall is a chair. The door is located on the north wall.,circular,blue,carpeted,chair,east,north,blue-carpeted-chair-east,circular-north,train,seen_combination,3,123
scene_0019,The circular room has yellow walls with a wooden floor. On the north wall is a painting. The door is located on the west wall.,circular,yellow,wooden,painting,north,west,yellow-wooden-painting-north,circular-west,train,seen_combination,3,126
scene_0020,"This is a circular chamber. The walls are red and the floor is carpeted. A lamp is positioned on the east side, and you can see a door on the west side.",circular,red,carpeted,lamp,east,west,red-carpeted-lamp-east,circular-west,train,seen_combination,2,152
scene_0021,The circular room has red walls with a tiled floor. On the north wall is a table. The door is located on the west wall.,circular,red,tiled,table,north,west,red-tiled-table-north,circular-west,train,seen_combination,3,119
scene_0022,"This is a square chamber. The walls are blue and the floor is wooden. A lamp is positioned on the east side, and you can see a door on the south side.",square,blue,wooden,lamp,east,south,blue-wooden-lamp-east,square-south,train,seen_combination,2,150
scene_0023,"You find yourself in a rectangular space. green walls surround you, and the floor beneath is wooden. A lamp sits on the north wall, while the exit door is on the west wall.",rectangular,green,wooden,lamp,north,west,green-wooden-lamp-north,rectangular-west,train,seen_combination,4,172
scene_0024,"You find yourself in a circular space. blue walls surround you, and the floor beneath is carpeted. A table sits on the south wall, while the exit door is on the west wall.",circular,blue,carpeted,table,south,west,blue-carpeted-table-south,circular-west,train,seen_combination,4,171
scene_0025,"This is a circular chamber. The walls are red and the floor is tiled. A painting is positioned on the south side, and you can see a door on the west side.",circular,red,tiled,painting,south,west,red-tiled-painting-south,circular-west,train,seen_combination,2,154
scene_0026,"You find yourself in a square space. yellow walls surround you, and the floor beneath is tiled. A chair sits on the west wall, while the exit door is on the east wall.",square,yellow,tiled,chair,west,east,yellow-tiled-chair-west,square-east,train,seen_combination,4,167
scene_0027,You are in a circular room with blue walls and a wooden floor. There is a table on the north wall and a door on the east wall.,circular,blue,wooden,table,north,east,blue-wooden-table-north,circular-east,train,seen_combination,1,126
scene_0028,You are in a circular room with green walls and a carpeted floor. There is a table on the north wall and a door on the south wall.,circular,green,carpeted,table,north,south,green-carpeted-table-north,circular-south,train,seen_combination,1,130
scene_0029,"This is a circular chamber. The walls are green and the floor is wooden. A lamp is positioned on the east side, and you can see a door on the north side.",circular,green,wooden,lamp,east,north,green-wooden-lamp-east,circular-north,train,seen_combination,2,153
scene_0030,"This is a square chamber. The walls are yellow and the floor is carpeted. A painting is positioned on the south side, and you can see a door on the west side.",square,yellow,carpeted,painting,south,west,yellow-carpeted-painting-south,square-west,train,seen_combination,2,158
scene_0031,You are in a square room with blue walls and a wooden floor. There is a painting on the west wall and a door on the north wall.,square,blue,wooden,painting,west,north,blue-wooden-painting-west,square-north,train,seen_combination,1,127
scene_0032,"You find yourself in a circular space. blue walls surround you, and the floor beneath is carpeted. A painting sits on the east wall, while the exit door is on the south wall.",circular,blue,carpeted,painting,east,south,blue-carpeted-painting-east,circular-south,train,seen_combination,4,174
scene_0033,"You find yourself in a square space. blue walls surround you, and the floor beneath is carpeted. A lamp sits on the north wall, while the exit door is on the south wall.",square,blue,carpeted,lamp,north,south,blue-carpeted-lamp-north,square-south,train,seen_combination,4,169
scene_0034,"You find yourself in a square space. green walls surround you, and the floor beneath is wooden. A table sits on the south wall, while the exit door is on the north wall.",square,green,wooden,table,south,north,green-wooden-table-south,square-north,train,seen_combination,4,169
scene_0035,"This is a circular chamber. The walls are red and the floor is tiled. A table is positioned on the east side, and you can see a door on the south side.",circular,red,tiled,table,east,south,red-tiled-table-east,circular-south,train,seen_combination,2,151
scene_0036,You are in a circular room with blue walls and a tiled floor. There is a lamp on the north wall and a door on the west wall.,circular,blue,tiled,lamp,north,west,blue-tiled-lamp-north,circular-west,train,seen_combination,1,124
scene_0037,"You find yourself in a circular space. blue walls surround you, and the floor beneath is wooden. A table sits on the west wall, while the exit door is on the south wall.",circular,blue,wooden,table,west,south,blue-wooden-table-west,circular-south,train,seen_combination,4,169
scene_0038,You are in a circular room with green walls and a tiled floor. There is a lamp on the south wall and a door on the east wall.,circular,green,tiled,lamp,south,east,green-tiled-lamp-south,circular-east,train,seen_combination,1,125
scene_0039,"You find yourself in a circular space. yellow walls surround you, and the floor beneath is tiled. A painting sits on the east wall, while the exit door is on the south wall.",circular,yellow,tiled,painting,east,south,yellow-tiled-painting-east,circular-south,train,seen_combination,4,173
scene_0040,You are in a circular room with red walls and a wooden floor. There is a chair on the south wall and a door on the north wall.,circular,red,wooden,chair,south,north,red-wooden-chair-south,circular-north,train,seen_combination,1,126
scene_0041,"This is a square chamber. The walls are green and the floor is wooden. A lamp is positioned on the west side, and you can see a door on the east side.",square,green,wooden,lamp,west,east,green-wooden-lamp-west,square-east,train,seen_combination,2,150
scene_0042,You are in a rectangular room with green walls and a carpeted floor. There is a lamp on the south wall and a door on the north wall.,rectangular,green,carpeted,lamp,south,north,green-carpeted-lamp-south,rectangular-north,train,seen_combination,1,132
scene_0043,You are in a circular room with green walls and a tiled floor. There is a lamp on the south wall and a door on the west wall.,circular,green,tiled,lamp,south,west,green-tiled-lamp-south,circular-west,train,seen_combination,1,125
scene_0044,The circular room has blue walls with a tiled floor. On the east wall is a chair. The door is located on the north wall.,circular,blue,tiled,chair,east,north,blue-tiled-chair-east,circular-north,train,seen_combination,3,120
scene_0045,The circular room has green walls with a tiled floor. On the south wall is a painting. The door is located on the west wall.,circular,green,tiled,painting,south,west,green-tiled-painting-south,circular-west,train,seen_combination,3,124
scene_0046,You are in a square room with blue walls and a tiled floor. There is a lamp on the north wall and a door on the east wall.,square,blue,tiled,lamp,north,east,blue-tiled-lamp-north,square-east,train,seen_combination,1,122
scene_0047,The circular room has blue walls with a carpeted floor. On the east wall is a table. The door is located on the north wall.,circular,blue,carpeted,table,east,north,blue-carpeted-table-east,circular-north,train,seen_combination,3,123
scene_0048,"You find yourself in a circular space. blue walls surround you, and the floor beneath is wooden. A chair sits on the east wall, while the exit door is on the north wall.",circular,blue,wooden,chair,east,north,blue-wooden-chair-east,circular-north,train,seen_combination,4,169
scene_0049,You are in a square room with yellow walls and a carpeted floor. There is a lamp on the east wall and a door on the west wall.,square,yellow,carpeted,lamp,east,west,yellow-carpeted-lamp-east,square-west,train,seen_combination,1,126
scene_0050,"This is a circular chamber. The walls are red and the floor is tiled. A lamp is positioned on the north side, and you can see a door on the west side.",circular,red,tiled,lamp,north,west,red-tiled-lamp-north,circular-west,train,seen_combination,2,150
scene_0051,The square room has yellow walls with a tiled floor. On the east wall is a table. The door is located on the north wall.,square,yellow,tiled,table,east,north,yellow-tiled-table-east,square-north,train,seen_combination,3,120
scene_0052,"You find yourself in a square space. blue walls surround you, and the floor beneath is tiled. A lamp sits on the north wall, while the exit door is on the west wall.",square,blue,tiled,lamp,north,west,blue-tiled-lamp-north,square-west,train,seen_combination,4,165
scene_0053,The square room has yellow walls with a wooden floor. On the east wall is a lamp. The door is located on the north wall.,square,yellow,wooden,lamp,east,north,yellow-wooden-lamp-east,square-north,train,seen_combination,3,120
scene_0054,You are in a circular room with red walls and a carpeted floor. There is a painting on the west wall and a door on the east wall.,circular,red,carpeted,painting,west,east,red-carpeted-painting-west,circular-east,train,seen_combination,1,129
scene_0055,"This is a circular chamber. The walls are blue and the floor is wooden. A table is positioned on the north side, and you can see a door on the east side.",circular,blue,wooden,table,north,east,blue-wooden-table-north,circular-east,train,seen_combination,2,153
scene_0056,You are in a circular room with yellow walls and a wooden floor. There is a lamp on the east wall and a door on the south wall.,circular,yellow,wooden,lamp,east,south,yellow-wooden-lamp-east,circular-south,train,seen_combination,1,127
scene_0057,"You find yourself in a square space. green walls surround you, and the floor beneath is wooden. A table sits on the north wall, while the exit door is on the east wall.",square,green,wooden,table,north,east,green-wooden-table-north,square-east,train,seen_combination,4,168
scene_0058,You are in a circular room with red walls and a wooden floor. There is a table on the south wall and a door on the east wall.,circular,red,wooden,table,south,east,red-wooden-table-south,circular-east,train,seen_combination,1,125
scene_0059,"This is a circular chamber. The walls are red and the floor is carpeted. A chair is positioned on the west side, and you can see a door on the east side.",circular,red,carpeted,chair,west,east,red-carpeted-chair-west,circular-east,train,seen_combination,2,153
scene_0060,"You find yourself in a square space. yellow walls surround you, and the floor beneath is wooden. A lamp sits on the west wall, while the exit door is on the north wall.",square,yellow,wooden,lamp,west,north,yellow-wooden-lamp-west,square-north,train,seen_combination,4,168
scene_0061,"This is a circular chamber. The walls are green and the floor is wooden. A painting is positioned on the east side, and you can see a door on the south side.",circular,green,wooden,painting,east,south,green-wooden-painting-east,circular-south,train,seen_combination,2,157
scene_0062,The circular room has green walls with a wooden floor. On the west wall is a table. The door is located on the south wall.,circular,green,wooden,table,west,south,green-wooden-table-west,circular-south,train,seen_combination,3,122
scene_0063,The circular room has blue walls with a tiled floor. On the west wall is a chair. The door is located on the east wall.,circular,blue,tiled,chair,west,east,blue-tiled-chair-west,circular-east,train,seen_combination,3,119
scene_0064,The rectangular room has green walls with a wooden floor. On the south wall is a chair. The door is located on the west wall.,rectangular,green,wooden,chair,south,west,green-wooden-chair-south,rectangular-west,train,seen_combination,3,125
scene_0065,The rectangular room has green walls with a wooden floor. On the east wall is a painting. The door is located on the west wall.,rectangular,green,wooden,painting,east,west,green-wooden-painting-east,rectangular-west,train,seen_combination,3,127
scene_0066,"This is a circular chamber. The walls are yellow and the floor is carpeted. A lamp is positioned on the west side, and you can see a door on the east side.",circular,yellow,carpeted,lamp,west,east,yellow-carpeted-lamp-west,circular-east,train,seen_combination,2,155
scene_0067,"This is a square chamber. The walls are yellow and the floor is wooden. A painting is positioned on the north side, and you can see a door on the west side.",square,yellow,wooden,painting,north,west,yellow-wooden-painting-north,square-west,train,seen_combination,2,156
scene_0068,The square room has green walls with a tiled floor. On the east wall is a lamp. The door is located on the west wall.,square,green,tiled,lamp,east,west,green-tiled-lamp-east,square-west,train,seen_combination,3,117
scene_0069,"You find yourself in a circular space. blue walls surround you, and the floor beneath is carpeted. A chair sits on the east wall, while the exit door is on the west wall.",circular,blue,carpeted,chair,east,west,blue-carpeted-chair-east,circular-west,train,seen_combination,4,170
scene_0070,"You find yourself in a square space. green walls surround you, and the floor beneath is tiled. A chair sits on the south wall, while the exit door is on the north wall.",square,green,tiled,chair,south,north,green-tiled-chair-south,square-north,train,seen_combination,4,168
scene_0071,You are in a circular room with yellow walls and a carpeted floor. There is a table on the east wall and a door on the south wall.,circular,yellow,carpeted,table,east,south,yellow-carpeted-table-east,circular-south,train,seen_combination,1,130
scene_0072,The square room has yellow walls with a tiled floor. On the west wall is a table. The door is located on the east wall.,square,yellow,tiled,table,west,east,yellow-tiled-table-west,square-east,train,seen_combination,3,119
scene_0073,"You find yourself in a square space. blue walls surround you, and the floor beneath is tiled. A painting sits on the south wall, while the exit door is on the west wall.",square,blue,tiled,painting,south,west,blue-tiled-painting-south,square-west,train,seen_combination,4,169
scene_0074,The circular room has red walls with a carpeted floor. On the east wall is a lamp. The door is located on the west wall.,circular,red,carpeted,lamp,east,west,red-carpeted-lamp-east,circular-west,train,seen_combination,3,120
scene_0075,"This is a circular chamber. The walls are blue and the floor is wooden. A chair is positioned on the south side, and you can see a door on the north side.",circular,blue,wooden,chair,south,north,blue-wooden-chair-south,circular-north,train,seen_combination,2,154
scene_0076,You are in a rectangular room with green walls and a wooden floor. There is a table on the west wall and a door on the east wall.,rectangular,green,wooden,table,west,east,green-wooden-table-west,rectangular-east,train,seen_combination,1,129
scene_0077,"You find yourself in a square space. blue walls surround you, and the floor beneath is tiled. A table sits on the west wall, while the exit door is on the south wall.",square,blue,tiled,table,west,south,blue-tiled-table-west,square-south,train,seen_combination,4,166
scene_0078,"This is a circular chamber. The walls are green and the floor is wooden. A lamp is positioned on the north side, and you can see a door on the east side.",circular,green,wooden,lamp,north,east,green-wooden-lamp-north,circular-east,train,seen_combination,2,153
scene_0079,"This is a circular chamber. The walls are red and the floor is carpeted. A painting is positioned on the north side, and you can see a door on the west side.",circular,red,carpeted,painting,north,west,red-carpeted-painting-north,circular-west,train,seen_combination,2,157
scene_0080,The circular room has blue walls with a tiled floor. On the west wall is a table. The door is located on the east wall.,circular,blue,tiled,table,west,east,blue-tiled-table-west,circular-east,train,seen_combination,3,119
scene_0081,"You find yourself in a square space. blue walls surround you, and the floor beneath is carpeted. A painting sits on the west wall, while the exit door is on the north wall.",square,blue,carpeted,painting,west,north,blue-carpeted-painting-west,square-north,train,seen_combination,4,172
scene_0082,"You find yourself in a square space. blue walls surround you, and the floor beneath is tiled. A table sits on the east wall, while the exit door is on the west wall.",square,blue,tiled,table,east,west,blue-tiled-table-east,square-west,train,seen_combination,4,165
scene_0083,The circular room has green walls with a tiled floor. On the north wall is a painting. The door is located on the west wall.,circular,green,tiled,painting,north,west,green-tiled-painting-north,circular-west,train,seen_combination,3,124
scene_0084,You are in a circular room with green walls and a tiled floor. There is a chair on the east wall and a door on the west wall.,circular,green,tiled,chair,east,west,green-tiled-chair-east,circular-west,train,seen_combination,1,125
scene_0085,"This is a circular chamber. The walls are red and the floor is wooden. A table is positioned on the west side, and you can see a door on the east side.",circular,red,wooden,table,west,east,red-wooden-table-west,circular-east,train,seen_combination,2,151
scene_0086,"You find yourself in a circular space. green walls surround you, and the floor beneath is wooden. A painting sits on the west wall, while the exit door is on the south wall.",circular,green,wooden,painting,west,south,green-wooden-painting-west,circular-south,train,seen_combination,4,173
scene_0087,You are in a circular room with yellow walls and a wooden floor. There is a table on the west wall and a door on the south wall.,circular,yellow,wooden,table,west,south,yellow-wooden-table-west,circular-south,train,seen_combination,1,128
scene_0088,"You find yourself in a circular space. yellow walls surround you, and the floor beneath is tiled. A lamp sits on the east wall, while the exit door is on the south wall.",circular,yellow,tiled,lamp,east,south,yellow-tiled-lamp-east,circular-south,train,seen_combination,4,169
scene_0089,The circular room has yellow walls with a carpeted floor. On the west wall is a table. The door is located on the north wall.,circular,yellow,carpeted,table,west,north,yellow-carpeted-table-west,circular-north,train,seen_combination,3,125
scene_0090,"You find yourself in a circular space. yellow walls surround you, and the floor beneath is tiled. A lamp sits on the west wall, while the exit door is on the south wall.",circular,yellow,tiled,lamp,west,south,yellow-tiled-lamp-west,circular-south,train,seen_combination,4,169
scene_0091,You are in a circular room with red walls and a tiled floor. There is a table on the north wall and a door on the east wall.,circular,red,tiled,table,north,east,red-tiled-table-north,circular-east,train,seen_combination,1,124
scene_0092,"This is a circular chamber. The walls are blue and the floor is carpeted. A painting is positioned on the south side, and you can see a door on the east side.",circular,blue,carpeted,painting,south,east,blue-carpeted-painting-south,circular-east,train,seen_combination,2,158
scene_0093,"You find yourself in a rectangular space. green walls surround you, and the floor beneath is tiled. A painting sits on the east wall, while the exit door is on the north wall.",rectangular,green,tiled,painting,east,north,green-tiled-painting-east,rectangular-north,train,seen_combination,4,175
scene_0094,The square room has green walls with a tiled floor. On the east wall is a painting. The door is located on the south wall.,square,green,tiled,painting,east,south,green-tiled-painting-east,square-south,train,seen_combination,3,122
scene_0095,"This is a circular chamber. The walls are blue and the floor is tiled. A lamp is positioned on the north side, and you can see a door on the east side.",circular,blue,tiled,lamp,north,east,blue-tiled-lamp-north,circular-east,train,seen_combination,2,151
scene_0096,"This is a circular chamber. The walls are blue and the floor is carpeted. A lamp is positioned on the north side, and you can see a door on the south side.",circular,blue,carpeted,lamp,north,south,blue-carpeted-lamp-north,circular-south,train,seen_combination,2,155
scene_0097,"You find yourself in a rectangular space. green walls surround you, and the floor beneath is carpeted. A table sits on the south wall, while the exit door is on the north wall.",rectangular,green,carpeted,table,south,north,green-carpeted-table-south,rectangular-north,train,seen_combination,4,176
scene_0098,The circular room has blue walls with a carpeted floor. On the west wall is a table. The door is located on the east wall.,circular,blue,carpeted,table,west,east,blue-carpeted-table-west,circular-east,train,seen_combination,3,122
scene_0099,You are in a square room with green walls and a wooden floor. There is a lamp on the south wall and a door on the east wall.,square,green,wooden,lamp,south,east,green-wooden-lamp-south,square-east,train,seen_combination,1,124
scene_0100,"This is a rectangular chamber. The walls are green and the floor is tiled. A painting is positioned on the west side, and you can see a door on the east side.",rectangular,green,tiled,painting,west,east,green-tiled-painting-west,rectangular-east,train,seen_combination,2,158
scene_0101,The circular room has blue walls with a carpeted floor. On the north wall is a table. The door is located on the west wall.,circular,blue,carpeted,table,north,west,blue-carpeted-table-north,circular-west,train,seen_combination,3,123
scene_0102,"You find yourself in a circular space. blue walls surround you, and the floor beneath is carpeted. A lamp sits on the east wall, while the exit door is on the west wall.",circular,blue,carpeted,lamp,east,west,blue-carpeted-lamp-east,circular-west,train,seen_combination,4,169
scene_0103,"You find yourself in a square space. green walls surround you, and the floor beneath is wooden. A chair sits on the north wall, while the exit door is on the east wall.",square,green,wooden,chair,north,east,green-wooden-chair-north,square-east,train,seen_combination,4,168
scene_0104,"This is a circular chamber. The walls are blue and the floor is tiled. A chair is positioned on the west side, and you can see a door on the east side.",circular,blue,tiled,chair,west,east,blue-tiled-chair-west,circular-east,train,seen_combination,2,151
scene_0105,"You find yourself in a circular space. yellow walls surround you, and the floor beneath is wooden. A chair sits on the west wall, while the exit door is on the south wall.",circular,yellow,wooden,chair,west,south,yellow-wooden-chair-west,circular-south,train,seen_combination,4,171
scene_0106,"You find yourself in a square space. yellow walls surround you, and the floor beneath is tiled. A table sits on the north wall, while the exit door is on the east wall.",square,yellow,tiled,table,north,east,yellow-tiled-table-north,square-east,train,seen_combination,4,168
scene_0107,"You find yourself in a circular space. green walls surround you, and the floor beneath is tiled. A painting sits on the east wall, while the exit door is on the north wall.",circular,green,tiled,painting,east,north,green-tiled-painting-east,circular-north,train,seen_combination,4,172
scene_0108,The square room has green walls with a wooden floor. On the south wall is a painting. The door is located on the east wall.,square,green,wooden,painting,south,east,green-wooden-painting-south,square-east,train,seen_combination,3,123
scene_0109,"This is a square chamber. The walls are green and the floor is tiled. A chair is positioned on the north side, and you can see a door on the west side.",square,green,tiled,chair,north,west,green-tiled-chair-north,square-west,train,seen_combination,2,151
scene_0110,"This is a circular chamber. The walls are blue and the floor is wooden. A painting is positioned on the west side, and you can see a door on the east side.",circular,blue,wooden,painting,west,east,blue-wooden-painting-west,circular-east,train,seen_combination,2,155
scene_0111,You are in a square room with blue walls and a carpeted floor. There is a painting on the west wall and a door on the north wall.,square,blue,carpeted,painting,west,north,blue-carpeted-painting-west,square-north,train,seen_combination,1,129
scene_0112,The square room has yellow walls with a wooden floor. On the south wall is a painting. The door is located on the east wall.,square,yellow,wooden,painting,south,east,yellow-wooden-painting-south,square-east,train,seen_combination,3,124
scene_0113,The square room has blue walls with a carpeted floor. On the west wall is a chair. The door is located on the east wall.,square,blue,carpeted,chair,west,east,blue-carpeted-chair-west,square-east,train,seen_combination,3,120
scene_0114,The square room has green walls with a carpeted floor. On the east wall is a painting. The door is located on the south wall.,square,green,carpeted,painting,east,south,green-carpeted-painting-east,square-south,train,seen_combination,3,125
scene_0115,"This is a circular chamber. The walls are green and the floor is wooden. A table is positioned on the east side, and you can see a door on the north side.",circular,green,wooden,table,east,north,green-wooden-table-east,circular-north,train,seen_combination,2,154
scene_0116,The circular room has green walls with a wooden floor. On the east wall is a painting. The door is located on the west wall.,circular,green,wooden,painting,east,west,green-wooden-painting-east,circular-west,train,seen_combination,3,124
scene_0117,"This is a circular chamber. The walls are blue and the floor is wooden. A chair is positioned on the south side, and you can see a door on the east side.",circular,blue,wooden,chair,south,east,blue-wooden-chair-south,circular-east,train,seen_combination,2,153
scene_0118,You are in a square room with yellow walls and a wooden floor. There is a table on the east wall and a door on the north wall.,square,yellow,wooden,table,east,north,yellow-wooden-table-east,square-north,train,seen_combination,1,126
scene_0119,You are in a square room with yellow walls and a carpeted floor. There is a table on the west wall and a door on the north wall.,square,yellow,carpeted,table,west,north,yellow-carpeted-table-west,square-north,train,seen_combination,1,128
scene_0120,"This is a square chamber. The walls are yellow and the floor is tiled. A painting is positioned on the west side, and you can see a door on the south side.",square,yellow,tiled,painting,west,south,yellow-tiled-painting-west,square-south,train,seen_combination,2,155
scene_0121,"You find yourself in a rectangular space. green walls surround you, and the floor beneath is tiled. A painting sits on the north wall, while the exit door is on the south wall.",rectangular,green,tiled,painting,north,south,green-tiled-painting-north,rectangular-south,train,seen_combination,4,176
scene_0122,The square room has blue walls with a wooden floor. On the south wall is a lamp. The door is located on the north wall.,square,blue,wooden,lamp,south,north,blue-wooden-lamp-south,square-north,train,seen_combination,3,119
scene_0123,"This is a circular chamber. The walls are blue and the floor is wooden. A lamp is positioned on the west side, and you can see a door on the east side.",circular,blue,wooden,lamp,west,east,blue-wooden-lamp-west,circular-east,train,seen_combination,2,151
scene_0124,"You find yourself in a circular space. yellow walls surround you, and the floor beneath is tiled. A painting sits on the east wall, while the exit door is on the west wall.",circular,yellow,tiled,painting,east,west,yellow-tiled-painting-east,circular-west,train,seen_combination,4,172
scene_0125,"This is a square chamber. The walls are yellow and the floor is carpeted. A lamp is positioned on the north side, and you can see a door on the south side.",square,yellow,carpeted,lamp,north,south,yellow-carpeted-lamp-north,square-south,train,seen_combination,2,155
scene_0126,"This is a square chamber. The walls are yellow and the floor is carpeted. A lamp is positioned on the south side, and you can see a door on the north side.",square,yellow,carpeted,lamp,south,north,yellow-carpeted-lamp-south,square-north,train,seen_combination,2,155
scene_0127,"You find yourself in a circular space. blue walls surround you, and the floor beneath is wooden. A lamp sits on the west wall, while the exit door is on the south wall.",circular,blue,wooden,lamp,west,south,blue-wooden-lamp-west,circular-south,train,seen_combination,4,168
scene_0128,The square room has yellow walls with a wooden floor. On the east wall is a table. The door is located on the west wall.,square,yellow,wooden,table,east,west,yellow-wooden-table-east,square-west,train,seen_combination,3,120
scene_0129,"This is a square chamber. The walls are blue and the floor is wooden. A table is positioned on the east side, and you can see a door on the west side.",square,blue,wooden,table,east,west,blue-wooden-table-east,square-west,train,seen_combination,2,150
scene_0130,"This is a circular chamber. The walls are yellow and the floor is wooden. A table is positioned on the south side, and you can see a door on the east side.",circular,yellow,wooden,table,south,east,yellow-wooden-table-south,circular-east,train,seen_combination,2,155
scene_0131,The circular room has blue walls with a wooden floor. On the east wall is a table. The door is located on the west wall.,circular,blue,wooden,table,east,west,blue-wooden-table-east,circular-west,train,seen_combination,3,120
scene_0132,"You find yourself in a square space. blue walls surround you, and the floor beneath is wooden. A painting sits on the east wall, while the exit door is on the west wall.",square,blue,wooden,painting,east,west,blue-wooden-painting-east,square-west,train,seen_combination,4,169
scene_0133,You are in a square room with yellow walls and a carpeted floor. There is a painting on the west wall and a door on the north wall.,square,yellow,carpeted,painting,west,north,yellow-carpeted-painting-west,square-north,train,seen_combination,1,131
scene_0134,You are in a circular room with yellow walls and a carpeted floor. There is a chair on the east wall and a door on the north wall.,circular,yellow,carpeted,chair,east,north,yellow-carpeted-chair-east,circular-north,train,seen_combination,1,130
scene_0135,You are in a circular room with green walls and a carpeted floor. There is a lamp on the east wall and a door on the west wall.,circular,green,carpeted,lamp,east,west,green-carpeted-lamp-east,circular-west,train,seen_combination,1,127
scene_0136,"You find yourself in a circular space. red walls surround you, and the floor beneath is tiled. A painting sits on the east wall, while the exit door is on the north wall.",circular,red,tiled,painting,east,north,red-tiled-painting-east,circular-north,train,seen_combination,4,170
scene_0137,The square room has blue walls with a wooden floor. On the east wall is a painting. The door is located on the south wall.,square,blue,wooden,painting,east,south,blue-wooden-painting-east,square-south,train,seen_combination,3,122
scene_0138,"You find yourself in a square space. green walls surround you, and the floor beneath is carpeted. A lamp sits on the south wall, while the exit door is on the east wall.",square,green,carpeted,lamp,south,east,green-carpeted-lamp-south,square-east,train,seen_combination,4,169
scene_0139,You are in a square room with blue walls and a tiled floor. There is a painting on the north wall and a door on the east wall.,square,blue,tiled,painting,north,east,blue-tiled-painting-north,square-east,train,seen_combination,1,126
scene_0140,You are in a square room with green walls and a tiled floor. There is a chair on the north wall and a door on the east wall.,square,green,tiled,chair,north,east,green-tiled-chair-north,square-east,train,seen_combination,1,124
scene_0141,The square room has blue walls with a tiled floor. On the south wall is a lamp. The door is located on the west wall.,square,blue,tiled,lamp,south,west,blue-tiled-lamp-south,square-west,train,seen_combination,3,117
